COUNTRY,Year,POPULATION (M),"GDP (B, USD)",G20 RANK,OECD RANK,ASIA RANK,OVERALL RANK
AR,2023,45.5,622.0,15.0,,,16.0
AU,2023,26.2,1688.0,19.0,18.0,7.0,26.0
AT,2023,8.9,526.0,,24.0,,36.0
BA,2023,171.2,446.0,,,14.0,46.0
BE,2023,11.7,628.0,,22.0,,32.0
BT,2023,0.8,3.0,,,,66.0
BRA,2023,215.3,2127.0,10.0,,,10.0
BR,2023,0.4,15.0,,,22.0,60.0
CB,2023,16.8,31.0,,,20.5,58.5
CA,2023,38.5,2118.0,14.0,11.0,,15.0
CL,2023,19.6,344.0,,19.0,,27.5
CN,2023,1434.1,18125.0,1.0,,1.0,1.0
CO,2023,51.9,364.0,,21.0,,30.0
CR,2023,5.2,86.0,,34.0,,51.0
CZ,2023,10.5,335.0,,20.0,,29.0
DK,2023,5.9,421.0,,28.5,,43.5
EE,2023,1.3,42.0,,36.0,,55.5
EU,2023,447.4,18351.0,16.0,,,18.0
FI,2023,5.5,306.0,,28.5,,43.5
FR,2023,64.6,3049.0,5.0,4.0,,5.0
DE,2023,83.4,4430.0,8.0,6.0,,8.0
GR,2023,10.4,242.0,,16.0,,22.0
HU,2023,10.0,204.0,,14.0,,20.0
IS,2023,0.4,31.0,,38.0,,64.0
IN,2023,1417.2,3732.0,11.0,,4.0,11.0
ID,2023,275.5,1417.0,17.0,,6.0,23.0
IE,2023,5.0,590.0,,26.0,,38.0
IL,2023,9.0,522.0,,23.0,,34.0
IT,2023,59.0,2186.0,9.0,7.0,,9.0
JP,2023,124.0,4231.0,4.0,3.0,2.0,4.0
NK,2023,26.1,23.0,,,20.5,58.5
SK,2023,51.8,1709.0,12.0,9.0,5.0,13.0
LA,2023,7.5,14.0,,,23.5,61.5
LV,2023,1.9,47.0,,36.0,,55.5
LT,2023,2.8,79.0,,32.0,,48.0
LU,2023,0.6,89.0,,36.0,,55.5
MA,2023,33.9,431.0,,,10.0,35.0
MX,2023,127.5,1811.0,13.0,10.0,,14.0
MO,2023,3.4,19.0,,,17.5,52.5
MY,2023,54.2,75.0,,,19.0,55.5
NP,2023,30.5,41.0,,,23.5,61.5
NL,2023,17.6,1093.0,,12.0,,17.0
NZ,2023,5.2,249.0,,31.0,15.0,47.0
NO,2023,5.4,547.0,,27.0,,42.0
