countryA,countryB,bilateralTradeNormValue,bilateralTradeRawValue,foreignCapitalInvestmentNormValue,foreignCapitalInvestmentRawValue,onlineSearchInterestRawValue,migrantDestinationsRawValue,migrantDestinationsNormValue,travelDestinationsRawValue,travelDestinationsNormValue,foreignMediaFlowsRawValue,armsTradeNormValue,armsTradeRawValue,jointTrainingNormValue,jointTrainingRawValue,defenceDialoguesNormValue,defenceDialoguesRawValue,diplomaticDialoguesNormValue,diplomaticDialoguesRawValue
AD,US,,,1.54824e-05,12100000.0,,,,,,,,,,,,,,
AE,AU,,,0.0053629239,1005045000.0000001,,,,,,,,,,,,,,
AE,BA,,,0.0176312866,498900000.00000006,,,,,,,,,,,,,,
AE,CN,,,0.0051748821,3493800000.0,,,,,,,,,,,,,,
AE,ID,,,0.0156294596,3032256000.0,,,,,,,,,,,,,,
AE,IN,,,0.0451300892,16334460000.000004,,,,,,,,,,,,,,
AE,JP,,,0.0016474692,168800000.0,,,,,,,,,,,,,,
AE,MA,,,0.0166653476,2209500000.0,,,,,,,,,,,,,,
AE,NP,,,0.0277934927,84500000.0,,,,,,,,,,,,,,
AE,NZ,,,0.003145744,73500000.0,,,,,,,,,,,,,,
AE,PH,,,0.0044075961,353900000.0,,,,,,,,,,,,,,
AE,PK,,,0.129830088,7217400000.0,,,,,,,,,,,,,,
AE,RU,,,0.0019767054,308400000.00000006,,,,,,,,,,,,,,
AE,SG,,,0.0457800474,5383800000.0,,,,,,,,,,,,,,
AE,SK,,,0.0001828659,13300000.0,,,,,,,,,,,,,,
AE,SL,,,0.068164915,1008800000.0,,,,,,,,,,,,,,
AE,TH,,,0.0100790031,604300000.0,,,,,,,,,,,,,,
AE,TW,,,0.0040256272,141500000.0,,,,,,,,,,,,,,
AE,US,,,0.0048351104,3778800000.0,,,,,,,,,,,,,,
AE,VN,,,0.0092030725,2007636000.0000002,,,,,,,,,,,,,,
AM,BA,,,0.0005407069,15300000.0,,,,,,,,,,,,,,
AM,CN,,,0.0001461906,98700000.0,,,,,,,,,,,,,,
AM,US,,,2.559e-07,200000.0,,,,,,,,,,,,,,
AO,CN,,,8.5907e-06,5800000.0,,,,,,,,,,,,,,
AR,CN,,,7.92866e-05,53529999.99999999,,,,,,,,,,,,,,
AR,IN,,,0.0001202956,43540000.0,,,,,,,,,,,,,,
AR,MA,,,2.41363e-05,3200000.0,,,,,,,,,,,,,,
AR,PH,,,0.0008371817,67220000.0,,,,,,,,,,,,,,
AR,PK,,,0.0051806835,288000000.0,,,,,,,,,,,,,,
AR,US,,,0.0016632688,1299899999.9999995,,,,,,,,,,,,,,
AT,AU,,,0.0016749716,313900000.0,,,,,,,,,,,,,,
AT,BA,,,0.0002579844,7300000.000000001,,,,,,,,,,,,,,
AT,CN,,,0.005651141,3815344199.9999995,,,,,,,,,,,,,,
AT,ID,,,0.0003700859,71800000.0,,,,,,,,,,,,,,
AT,IN,,,0.003912647,1416149999.9999998,,,,,,,,,,,,,,
