COUNTRY,POST COUNTRY,Year,POST COUNT
AR,DZ,2016,1
AR,DZ,2017,1
AR,DZ,2019,1
AR,DZ,2021,1
AR,DZ,2023,1
AR,AO,2016,1
AR,AO,2017,1
AR,AO,2019,1
AR,AO,2021,1
AR,AO,2023,1
AR,AM,2016,1
AR,AM,2017,1
AR,AM,2019,1
AR,AM,2021,1
AR,AM,2023,1
AR,AU,2016,2
AR,AU,2017,2
AR,AU,2019,2
AR,AU,2021,2
AR,AU,2023,2
AR,AT,2016,1
AR,AT,2017,1
AR,AT,2019,1
AR,AT,2021,1
AR,AT,2023,1
AR,AZ,2016,1
AR,AZ,2017,1
AR,AZ,2019,1
AR,AZ,2021,1
AR,AZ,2023,1
AR,BA,2023,1
AR,BB,2016,1
AR,BB,2017,1
AR,BB,2019,1
AR,BB,2021,1
AR,BB,2023,1
AR,BE,2016,2
AR,BE,2017,2
AR,BE,2019,2
AR,BE,2021,2
AR,BE,2023,2
AR,BO,2016,7
AR,BO,2017,7
AR,BO,2019,7
AR,BO,2021,7
AR,BO,2023,6
AR,BRA,2016,11
AR,BRA,2017,11
AR,BRA,2019,11
AR,BRA,2021,11
AR,BRA,2023,11
AR,BG,2016,1
AR,BG,2017,1
AR,BG,2019,1
AR,BG,2021,1
AR,BG,2023,1
AR,CA,2016,3
AR,CA,2017,3
AR,CA,2019,3
AR,CA,2021,3
AR,CA,2023,4
AR,CL,2016,7
AR,CL,2017,7
AR,CL,2019,7
AR,CL,2021,6
AR,CL,2023,6
AR,CN,2016,4
AR,CN,2017,4
AR,CN,2019,4
AR,CN,2021,4
AR,CN,2023,4
AR,CO,2016,1
AR,CO,2017,1
AR,CO,2019,1
AR,CO,2021,1
AR,CO,2023,1
AR,CR,2016,1
AR,CR,2017,1
AR,CR,2019,1
AR,CR,2021,1
AR,CR,2023,1
AR,CU,2016,1
AR,CU,2017,1
AR,CU,2019,1
AR,CU,2021,1
AR,CU,2023,1
AR,CZ,2016,1
AR,CZ,2017,1
AR,CZ,2019,1
AR,CZ,2021,1
AR,CZ,2023,1
AR,DK,2016,1
AR,DK,2017,1
AR,DK,2019,1
AR,DK,2021,1
AR,DK,2023,1
AR,DO,2016,1
AR,DO,2017,1
AR,DO,2019,1
AR,DO,2021,1
AR,DO,2023,1
AR,EC,2016,2
AR,EC,2017,2
AR,EC,2019,2
AR,EC,2021,2
AR,EC,2023,2
AR,EG,2016,1
AR,EG,2017,1
AR,EG,2019,1
AR,EG,2021,1
AR,EG,2023,1
AR,SV,2016,1
AR,SV,2017,1
AR,SV,2019,1
AR,SV,2021,1
AR,SV,2023,1
AR,ET,2016,1
AR,ET,2017,1
AR,ET,2019,1
AR,ET,2021,1
AR,ET,2023,1
AR,FI,2016,1
AR,FI,2017,1
AR,FI,2019,1
AR,FI,2021,1
AR,FI,2023,1
AR,FR,2016,2
AR,FR,2017,2
AR,FR,2019,2
AR,FR,2021,2
AR,FR,2023,2
AR,DE,2016,4
AR,DE,2017,4
AR,DE,2019,4
AR,DE,2021,4
AR,DE,2023,4
AR,GR,2016,1
AR,GR,2017,1
AR,GR,2019,1
AR,GR,2021,1
AR,GR,2023,1
AR,GT,2016,1
AR,GT,2017,1
AR,GT,2019,1
AR,GT,2021,1
AR,GT,2023,1
AR,GY,2016,1
AR,GY,2017,1
AR,GY,2019,1
AR,GY,2021,1
AR,GY,2023,1
AR,HT,2016,1
AR,HT,2017,1
AR,HT,2019,1
AR,HT,2021,1
AR,HT,2023,1
AR,VA,2016,1
AR,VA,2017,1
AR,VA,2019,1
AR,VA,2021,1
AR,VA,2023,1
AR,HN,2016,1
AR,HN,2017,1
AR,HN,2019,1
AR,HN,2021,1
AR,HN,2023,1
AR,HU,2016,1
AR,HU,2017,1
AR,HU,2019,1
AR,HU,2021,1
AR,HU,2023,1
AR,IN,2016,2
AR,IN,2017,2
AR,IN,2019,2
AR,IN,2021,2
AR,IN,2023,2
AR,ID,2016,1
AR,ID,2017,1
AR,ID,2019,1
AR,ID,2021,1
AR,ID,2023,1
AR,IR,2016,1
AR,IR,2017,1
AR,IR,2019,1
AR,IR,2021,1
AR,IR,2023,1
AR,IE,2016,1
AR,IE,2017,1
AR,IE,2019,1
AR,IE,2021,1
AR,IE,2023,1
AR,IL,2016,1
AR,IL,2017,1
AR,IL,2019,2
AR,IL,2021,2
AR,IL,2023,1
AR,IT,2016,4
AR,IT,2017,4
AR,IT,2019,4
AR,IT,2021,4
AR,IT,2023,3
AR,JM,2016,1
AR,JM,2017,1
AR,JM,2019,1
AR,JM,2021,1
AR,JM,2023,1
AR,JP,2016,1
AR,JP,2017,1
AR,JP,2019,1
AR,JP,2021,1
AR,JP,2023,1
AR,KE,2016,1
AR,KE,2017,1
AR,KE,2019,1
AR,KE,2021,1
AR,KE,2023,1
AR,KW,2016,1
AR,KW,2017,1
AR,KW,2019,1
AR,KW,2021,1
AR,KW,2023,1
